num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,68,344,2.28125,100,100,10
8,0,68,344,2.20312,250,100,10
8,0,68,344,2.31250,500,100,10
8,0,63,315,5.28125,100,250,10
8,0,63,315,5.37500,250,250,10
8,0,63,315,5.28125,500,250,10
8,0,61,309,10.34375,100,500,10
8,0,61,309,10.26562,250,500,10
8,0,61,309,10.35938,500,500,10
8,0,66,732,4.84375,100,100,25
8,0,66,732,4.81250,250,100,25
8,0,66,732,4.81250,500,100,25
8,0,61,680,11.34375,100,250,25
8,0,61,680,11.64062,250,250,25
8,0,61,680,11.31250,500,250,25
8,0,62,685,22.75000,100,500,25
8,0,62,685,22.82812,250,500,25
8,0,62,685,22.67188,500,500,25
8,0,66,1123,7.40625,100,100,50
8,0,66,1123,7.35938,250,100,50
8,0,66,1123,7.35938,500,100,50
8,0,58,986,16.76562,100,250,50
8,0,58,986,16.79688,250,250,50
8,0,58,986,16.82812,500,250,50
8,0,60,1027,34.14062,100,500,50
8,0,60,1027,34.35938,250,500,50
8,0,60,1027,34.18750,500,500,50
8,0,61,1413,9.46875,100,100,100
8,0,61,1413,9.45312,250,100,100
8,0,61,1413,9.45312,500,100,100
8,0,67,1559,24.84375,100,250,100
8,0,67,1559,24.87500,250,250,100
8,0,67,1559,24.82812,500,250,100
8,0,58,1338,45.48438,100,500,100
8,0,58,1338,45.45312,250,500,100
8,0,58,1338,45.37500,500,500,100
12,0,61,308,2.60938,100,100,10
12,0,61,308,2.54688,250,100,10
12,0,61,308,2.67188,500,100,10
12,0,62,313,8.26562,100,250,10
12,0,62,313,8.32812,250,250,10
12,0,62,313,8.64062,500,250,10
12,0,62,311,18.67188,100,500,10
12,0,62,311,18.32812,250,500,10
12,0,62,311,18.76562,500,500,10
12,0,59,655,6.93750,100,100,25
12,0,59,655,6.98438,250,100,25
12,0,59,655,6.78125,500,100,25
12,0,58,643,19.93750,100,250,25
12,0,58,643,19.79688,250,250,25
12,0,58,643,19.70312,500,250,25
12,0,58,638,41.03125,100,500,25
12,0,58,638,41.03125,250,500,25
12,0,58,638,40.82812,500,500,25
12,0,60,1036,11.75000,100,100,50
12,0,60,1036,11.82812,250,100,50
12,0,60,1036,11.89062,500,100,50
12,0,55,949,30.92188,100,250,50
12,0,55,949,30.34375,250,250,50
12,0,55,949,30.62500,500,250,50
12,0,58,994,64.76562,100,500,50
12,0,58,994,64.79688,250,500,50
12,0,58,994,64.67188,500,500,50
12,0,63,1461,17.28125,100,100,100
12,0,63,1461,17.17188,250,100,100
12,0,63,1461,17.06250,500,100,100
12,0,59,1368,43.79688,100,250,100
12,0,59,1368,43.76562,250,250,100
12,0,59,1368,43.73438,500,250,100
12,0,56,1310,86.96875,100,500,100
12,0,56,1310,86.98438,250,500,100
12,0,56,1310,88.01562,500,500,100
8,0,68,344,2.18750,100,100,10
8,0,68,344,2.18750,250,100,10
8,0,68,344,2.18750,500,100,10
8,0,63,315,5.18750,100,250,10
8,0,63,315,5.18750,250,250,10
8,0,63,315,5.18750,500,250,10
8,0,61,309,10.25000,100,500,10
8,0,61,309,10.20312,250,500,10
8,0,61,309,10.26562,500,500,10
8,0,66,732,4.70312,100,100,25
8,0,66,732,4.71875,250,100,25
8,0,66,732,4.71875,500,100,25
8,0,61,680,11.23438,100,250,25
8,0,61,680,11.23438,250,250,25
8,0,61,680,11.21875,500,250,25
8,0,62,685,22.68750,100,500,25
8,0,62,685,22.65625,250,500,25
8,0,62,685,22.81250,500,500,25
8,0,66,1123,7.25000,100,100,50
8,0,66,1123,7.23438,250,100,50
8,0,66,1123,7.28125,500,100,50
8,0,58,986,16.67188,100,250,50
8,0,58,986,16.68750,250,250,50
8,0,58,986,16.67188,500,250,50
8,0,60,1027,34.17188,100,500,50
8,0,60,1027,34.17188,250,500,50
8,0,60,1027,34.23438,500,500,50
8,0,61,1413,9.40625,100,100,100
8,0,61,1413,9.34375,250,100,100
8,0,61,1413,9.37500,500,100,100
8,0,67,1559,24.76562,100,250,100
8,0,67,1559,24.73438,250,250,100
8,0,67,1559,24.75000,500,250,100
8,0,58,1338,45.26562,100,500,100
8,0,58,1338,45.40625,250,500,100
8,0,58,1338,45.48438,500,500,100
12,0,61,308,1.87500,100,100,10
12,0,61,308,1.87500,250,100,10
12,0,61,308,1.89062,500,100,10
12,0,62,313,4.71875,100,250,10
12,0,62,313,4.71875,250,250,10
12,0,62,313,4.71875,500,250,10
12,0,62,311,9.31250,100,500,10
12,0,62,311,9.34375,250,500,10
12,0,62,311,9.32812,500,500,10
12,0,59,655,4.00000,100,100,25
12,0,59,655,4.03125,250,100,25
12,0,59,655,4.00000,500,100,25
12,0,58,643,9.90625,100,250,25
12,0,58,643,9.92188,250,250,25
12,0,58,643,9.90625,500,250,25
12,0,58,638,19.68750,100,500,25
12,0,58,638,19.71875,250,500,25
12,0,58,638,19.67188,500,500,25
12,0,60,1036,6.26562,100,100,50
12,0,60,1036,6.29688,250,100,50
12,0,60,1036,6.28125,500,100,50
12,0,55,949,14.92188,100,250,50
12,0,55,949,14.92188,250,250,50
12,0,55,949,14.93750,500,250,50
12,0,58,994,30.54688,100,500,50
12,0,58,994,30.70312,250,500,50
12,0,58,994,30.53125,500,500,50
12,0,63,1461,8.71875,100,100,100
12,0,63,1461,8.70312,250,100,100
12,0,63,1461,8.71875,500,100,100
12,0,59,1368,20.95312,100,250,100
12,0,59,1368,20.93750,250,250,100
12,0,59,1368,20.95312,500,250,100
12,0,56,1310,40.76562,100,500,100
12,0,56,1310,40.75000,250,500,100
12,0,56,1310,40.76562,500,500,100
8,0,68,344,2.20312,100,100,10
8,0,68,344,2.20312,250,100,10
8,0,68,344,2.20312,500,100,10
8,0,63,315,5.17188,100,250,10
8,0,63,315,5.18750,250,250,10
8,0,63,315,5.17188,500,250,10
8,0,61,309,10.21875,100,500,10
8,0,61,309,10.17188,250,500,10
8,0,61,309,10.17188,500,500,10
8,0,66,732,4.68750,100,100,25
8,0,66,732,4.70312,250,100,25
8,0,66,732,4.70312,500,100,25
8,0,61,680,11.20312,100,250,25
8,0,61,680,11.25000,250,250,25
8,0,61,680,11.23438,500,250,25
8,0,62,685,22.64062,100,500,25
8,0,62,685,22.62500,250,500,25
8,0,62,685,22.64062,500,500,25
8,0,66,1123,7.23438,100,100,50
8,0,66,1123,7.23438,250,100,50
8,0,66,1123,7.25000,500,100,50
8,0,58,986,16.71875,100,250,50
8,0,58,986,16.70312,250,250,50
8,0,58,986,16.67188,500,250,50
8,0,60,1027,34.29688,100,500,50
8,0,60,1027,34.09375,250,500,50
8,0,60,1027,34.20312,500,500,50
8,0,61,1413,9.34375,100,100,100
8,0,61,1413,9.29688,250,100,100
8,0,61,1413,9.32812,500,100,100
8,0,67,1559,24.73438,100,250,100
8,0,67,1559,24.76562,250,250,100
8,0,67,1559,24.78125,500,250,100
8,0,58,1338,45.18750,100,500,100
8,0,58,1338,45.17188,250,500,100
8,0,58,1338,45.20312,500,500,100
12,0,61,308,1.87500,100,100,10
12,0,61,308,1.89062,250,100,10
12,0,61,308,1.87500,500,100,10
12,0,62,313,4.71875,100,250,10
12,0,62,313,4.70312,250,250,10
12,0,62,313,4.71875,500,250,10
12,0,62,311,9.29688,100,500,10
12,0,62,311,9.31250,250,500,10
12,0,62,311,9.32812,500,500,10
12,0,59,655,4.04688,100,100,25
12,0,59,655,4.03125,250,100,25
12,0,59,655,4.03125,500,100,25
12,0,58,643,9.92188,100,250,25
12,0,58,643,9.89062,250,250,25
12,0,58,643,9.90625,500,250,25
12,0,58,638,19.67188,100,500,25
12,0,58,638,19.68750,250,500,25
12,0,58,638,19.71875,500,500,25
12,0,60,1036,6.28125,100,100,50
12,0,60,1036,6.29688,250,100,50
12,0,60,1036,6.26562,500,100,50
12,0,55,949,14.96875,100,250,50
12,0,55,949,14.95312,250,250,50
12,0,55,949,14.95312,500,250,50
12,0,58,994,30.50000,100,500,50
12,0,58,994,30.51562,250,500,50
12,0,58,994,30.50000,500,500,50
12,0,63,1461,8.70312,100,100,100
12,0,63,1461,8.71875,250,100,100
12,0,63,1461,8.70312,500,100,100
12,0,59,1368,20.93750,100,250,100
12,0,59,1368,20.93750,250,250,100
12,0,59,1368,20.96875,500,250,100
12,0,56,1310,40.76562,100,500,100
12,0,56,1310,40.71875,250,500,100
12,0,56,1310,40.75000,500,500,100
8,0,68,344,2.18750,100,100,10
8,0,68,344,2.20312,250,100,10
8,0,68,344,2.18750,500,100,10
8,0,63,315,5.20312,100,250,10
8,0,63,315,5.18750,250,250,10
8,0,63,315,5.20312,500,250,10
8,0,61,309,10.21875,100,500,10
8,0,61,309,10.21875,250,500,10
8,0,61,309,10.23438,500,500,10
8,0,66,732,4.71875,100,100,25
8,0,66,732,4.70312,250,100,25
8,0,66,732,4.71875,500,100,25
8,0,61,680,11.26562,100,250,25
8,0,61,680,11.28125,250,250,25
8,0,61,680,11.26562,500,250,25
8,0,62,685,22.64062,100,500,25
8,0,62,685,22.68750,250,500,25
8,0,62,685,22.68750,500,500,25
8,0,66,1123,7.26562,100,100,50
8,0,66,1123,7.23438,250,100,50
8,0,66,1123,7.26562,500,100,50
8,0,58,986,16.68750,100,250,50
8,0,58,986,16.70312,250,250,50
8,0,58,986,16.76562,500,250,50
8,0,60,1027,34.18750,100,500,50
8,0,60,1027,34.12500,250,500,50
8,0,60,1027,34.09375,500,500,50
8,0,61,1413,9.32812,100,100,100
8,0,61,1413,9.32812,250,100,100
8,0,61,1413,9.96875,500,100,100
8,0,67,1559,24.73438,100,250,100
8,0,67,1559,24.79688,250,250,100
8,0,67,1559,24.73438,500,250,100
8,0,58,1338,45.40625,100,500,100
8,0,58,1338,45.23438,250,500,100
8,0,58,1338,45.26562,500,500,100
12,0,61,308,1.87500,100,100,10
12,0,61,308,1.85938,250,100,10
12,0,61,308,1.87500,500,100,10
12,0,62,313,4.70312,100,250,10
12,0,62,313,4.70312,250,250,10
12,0,62,313,4.68750,500,250,10
12,0,62,311,9.32812,100,500,10
12,0,62,311,9.32812,250,500,10
12,0,62,311,9.32812,500,500,10
12,0,59,655,4.03125,100,100,25
12,0,59,655,4.01562,250,100,25
12,0,59,655,4.03125,500,100,25
12,0,58,643,9.87500,100,250,25
12,0,58,643,9.92188,250,250,25
12,0,58,643,9.87500,500,250,25
12,0,58,638,19.65625,100,500,25
12,0,58,638,19.67188,250,500,25
12,0,58,638,19.65625,500,500,25
12,0,60,1036,6.29688,100,100,50
12,0,60,1036,6.26562,250,100,50
12,0,60,1036,6.28125,500,100,50
12,0,55,949,14.93750,100,250,50
12,0,55,949,14.98438,250,250,50
12,0,55,949,14.92188,500,250,50
12,0,58,994,30.50000,100,500,50
12,0,58,994,30.60938,250,500,50
12,0,58,994,30.53125,500,500,50
12,0,63,1461,8.73438,100,100,100
12,0,63,1461,8.71875,250,100,100
12,0,63,1461,8.70312,500,100,100
12,0,59,1368,20.96875,100,250,100
12,0,59,1368,20.93750,250,250,100
12,0,59,1368,20.96875,500,250,100
12,0,56,1310,40.76562,100,500,100
12,0,56,1310,40.79688,250,500,100
12,0,56,1310,40.82812,500,500,100
8,0,68,344,2.18750,100,100,10
8,0,68,344,2.21875,250,100,10
8,0,68,344,2.18750,500,100,10
8,0,63,315,5.20312,100,250,10
8,0,63,315,5.20312,250,250,10
8,0,63,315,5.20312,500,250,10
8,0,61,309,10.18750,100,500,10
8,0,61,309,10.18750,250,500,10
8,0,61,309,10.20312,500,500,10
8,0,66,732,4.70312,100,100,25
8,0,66,732,4.71875,250,100,25
8,0,66,732,4.68750,500,100,25
8,0,61,680,11.26562,100,250,25
