num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,103,48552,836.42188,1000,100,10
8,0,101,269675,4581.45312,1000,1000,10
8,0,100,555561,9445.25000,1000,2500,10
8,0,100,971196,16298.21875,1000,5000,10
8,0,101,50515,871.31250,1000,100,25
8,0,101,247109,4174.21875,1000,1000,25
8,0,99,501644,8550.78125,1000,2500,25
8,0,100,976255,16408.92188,1000,5000,25
8,0,107,48494,827.93750,1000,100,50
8,0,102,255098,4339.37500,1000,1000,50
8,0,100,556705,9438.60938,1000,2500,50
8,0,98,956213,20019.67188,1000,5000,50
8,0,105,48846,837.29688,1000,100,100
8,0,98,260484,4466.26562,1000,1000,100
8,0,99,574208,9762.37500,1000,2500,100
8,0,99,939574,15808.85938,1000,5000,100
8,0,103,48552,1832.01562,1000,100,10
8,0,101,50515,1898.65625,1000,100,25
8,0,107,48494,1817.32812,1000,100,50
8,0,105,48846,1832.65625,1000,100,100
12,0,87,42936,693.85938,1000,100,10
12,0,89,42317,684.56250,1000,100,25
12,0,89,41805,674.73438,1000,100,50
12,0,94,44111,710.98438,1000,100,100
8,0,103,48552,838.68750,1000,100,10
8,0,101,50515,872.28125,1000,100,25
8,0,107,48494,829.65625,1000,100,50
8,0,105,48846,837.48438,1000,100,100
12,0,87,42936,693.09375,1000,100,10
12,0,89,42317,684.57812,1000,100,25
12,0,89,41805,673.70312,1000,100,50
12,0,94,44111,709.95312,1000,100,100
8,0,103,48552,835.85938,1000,100,10
8,0,101,50515,872.20312,1000,100,25
8,0,107,48494,828.53125,1000,100,50
8,0,105,48846,839.12500,1000,100,100
12,0,87,42936,693.78125,1000,100,10
12,0,89,42317,685.32812,1000,100,25
12,0,89,41805,674.64062,1000,100,50
12,0,94,44111,712.17188,1000,100,100
8,0,103,48552,834.31250,1000,100,10
8,0,101,50515,871.95312,1000,100,25
8,0,107,48494,829.04688,1000,100,50
8,0,105,48846,837.14062,1000,100,100
12,0,87,42936,693.31250,1000,100,10
12,0,89,42317,684.31250,1000,100,25
12,0,89,41805,673.87500,1000,100,50
12,0,94,44111,710.06250,1000,100,100
8,0,103,48552,834.26562,1000,100,10
8,0,101,50515,872.53125,1000,100,25
8,0,107,48494,828.67188,1000,100,50
8,0,105,48846,837.85938,1000,100,100
12,0,87,42936,693.15625,1000,100,10
12,0,89,42317,684.46875,1000,100,25
12,0,89,41805,673.85938,1000,100,50
12,0,94,44111,710.93750,1000,100,100
8,0,103,48552,836.07812,1000,100,10
8,0,101,50515,872.00000,1000,100,25
8,0,107,48494,828.65625,1000,100,50
8,0,105,48846,836.46875,1000,100,100
12,0,87,42936,696.93750,1000,100,10
12,0,89,42317,685.81250,1000,100,25
12,0,89,41805,674.50000,1000,100,50
12,0,94,44111,710.51562,1000,100,100
8,0,103,48552,834.62500,1000,100,10
8,0,101,50515,872.00000,1000,100,25
8,0,107,48494,828.64062,1000,100,50
8,0,105,48846,840.40625,1000,100,100
12,0,87,42936,698.26562,1000,100,10
12,0,89,42317,686.51562,1000,100,25
12,0,89,41805,675.09375,1000,100,50
12,0,94,44111,711.79688,1000,100,100
8,0,103,48552,836.87500,1000,100,10
8,0,101,50515,873.92188,1000,100,25
8,0,107,48494,830.92188,1000,100,50
8,0,105,48846,839.57812,1000,100,100
12,0,87,42936,696.14062,1000,100,10
12,0,89,42317,686.82812,1000,100,25
12,0,89,41805,675.18750,1000,100,50
12,0,94,44111,711.92188,1000,100,100
8,0,103,48552,836.95312,1000,100,10
8,0,101,50515,873.93750,1000,100,25
8,0,107,48494,831.71875,1000,100,50
8,0,105,48846,837.31250,1000,100,100
12,0,87,42936,693.51562,1000,100,10
12,0,89,42317,684.26562,1000,100,25
12,0,89,41805,673.65625,1000,100,50
12,0,94,44111,710.04688,1000,100,100
8,0,103,48552,834.32812,1000,100,10
8,0,101,50515,872.10938,1000,100,25
8,0,107,48494,828.53125,1000,100,50
8,0,105,48846,836.87500,1000,100,100
12,0,87,42936,693.25000,1000,100,10
12,0,89,42317,684.39062,1000,100,25
12,0,89,41805,674.51562,1000,100,50
12,0,94,44111,710.23438,1000,100,100
