num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,128,65642,6481.07812,1000,100,10
8,0,126,65192,6448.18750,1000,100,25
8,0,129,65904,6500.87500,1000,100,50
8,0,126,65427,6473.78125,1000,100,100
12,0,100,51703,4718.01562,1000,100,10
12,0,102,51672,4703.48438,1000,100,25
12,0,102,51215,5460.20312,1000,100,50
12,0,98,50511,4614.89062,1000,100,100
8,0,128,65642,6481.84375,1000,100,10
8,0,126,65192,6451.82812,1000,100,25
8,0,129,65904,6506.31250,1000,100,50
8,0,126,65427,6466.98438,1000,100,100
12,0,100,51703,4715.78125,1000,100,10
12,0,102,51672,4695.29688,1000,100,25
12,0,102,51215,4655.60938,1000,100,50
12,0,98,50511,9460.37500,1000,100,100
8,0,128,65642,6485.03125,1000,100,10
8,0,126,65192,6448.09375,1000,100,25
8,0,129,65904,6502.70312,1000,100,50
8,0,126,65427,6469.51562,1000,100,100
12,0,100,51703,4710.95312,1000,100,10
12,0,102,51672,4694.81250,1000,100,25
12,0,102,51215,4652.60938,1000,100,50
12,0,98,50511,4611.64062,1000,100,100
8,0,128,65642,7016.98438,1000,100,10
8,0,126,65192,7374.68750,1000,100,25
8,0,129,65904,6932.93750,1000,100,50
8,0,126,65427,6488.40625,1000,100,100
12,0,100,51703,4730.18750,1000,100,10
12,0,102,51672,4707.68750,1000,100,25
12,0,102,51215,4671.35938,1000,100,50
12,0,98,50511,4623.93750,1000,100,100
8,0,128,65642,6501.76562,1000,100,10
8,0,126,65192,6489.70312,1000,100,25
8,0,129,65904,6531.46875,1000,100,50
