num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,52,17239,13.03125,1000,100,10
8,0,51,17263,13.00000,1000,100,25
8,0,51,17243,13.03125,1000,100,50
8,0,53,17366,13.03125,1000,100,100
12,0,48,14793,10.85938,1000,100,10
12,0,46,14877,10.96875,1000,100,25
12,0,47,15867,11.73438,1000,100,50
12,0,46,15207,11.23438,1000,100,100
8,0,52,17239,13.01562,1000,100,10
8,0,51,17263,13.01562,1000,100,25
8,0,51,17243,13.01562,1000,100,50
8,0,53,17366,12.96875,1000,100,100
12,0,48,14793,10.85938,1000,100,10
12,0,46,14877,10.96875,1000,100,25
12,0,47,15867,11.67188,1000,100,50
12,0,46,15207,11.20312,1000,100,100
8,0,52,17239,13.04688,1000,100,10
8,0,51,17263,13.04688,1000,100,25
8,0,51,17243,12.98438,1000,100,50
8,0,53,17366,12.98438,1000,100,100
12,0,48,14793,11.04688,1000,100,10
12,0,46,14877,11.14062,1000,100,25
12,0,47,15867,11.70312,1000,100,50
12,0,46,15207,11.23438,1000,100,100
8,0,52,17239,13.10938,1000,100,10
8,0,51,17263,13.09375,1000,100,25
8,0,51,17243,13.03125,1000,100,50
8,0,53,17366,13.03125,1000,100,100
12,0,48,14793,10.98438,1000,100,10
12,0,46,14877,11.03125,1000,100,25
12,0,47,15867,11.70312,1000,100,50
12,0,46,15207,11.20312,1000,100,100
8,0,52,17239,13.14062,1000,100,10
8,0,51,17263,13.01562,1000,100,25
8,0,51,17243,13.03125,1000,100,50
8,0,53,17366,13.01562,1000,100,100
12,0,48,14793,11.04688,1000,100,10
12,0,46,14877,11.06250,1000,100,25
12,0,47,15867,11.78125,1000,100,50
12,0,46,15207,11.28125,1000,100,100
8,0,52,17239,13.03125,1000,100,10
8,0,51,17263,13.03125,1000,100,25
8,0,51,17243,13.00000,1000,100,50
8,0,53,17366,13.00000,1000,100,100
12,0,48,14793,11.37500,1000,100,10
12,0,46,14877,11.45312,1000,100,25
12,0,47,15867,12.00000,1000,100,50
12,0,46,15207,11.39062,1000,100,100
8,0,52,17239,13.17188,1000,100,10
8,0,51,17263,13.09375,1000,100,25
8,0,51,17243,13.10938,1000,100,50
8,0,53,17366,13.15625,1000,100,100
12,0,48,14793,10.96875,1000,100,10
12,0,46,14877,11.10938,1000,100,25
12,0,47,15867,11.81250,1000,100,50
12,0,46,15207,11.28125,1000,100,100
8,0,52,17239,13.17188,1000,100,10
8,0,51,17263,13.14062,1000,100,25
8,0,51,17243,13.14062,1000,100,50
8,0,53,17366,13.18750,1000,100,100
12,0,48,14793,11.04688,1000,100,10
12,0,46,14877,11.07812,1000,100,25
12,0,47,15867,11.79688,1000,100,50
12,0,46,15207,11.31250,1000,100,100
8,0,52,17239,13.17188,1000,100,10
8,0,51,17263,13.14062,1000,100,25
8,0,51,17243,13.20312,1000,100,50
8,0,53,17366,13.14062,1000,100,100
12,0,48,14793,10.96875,1000,100,10
12,0,46,14877,11.06250,1000,100,25
12,0,47,15867,11.84375,1000,100,50
12,0,46,15207,11.35938,1000,100,100
8,0,52,17239,13.20312,1000,100,10
8,0,51,17263,13.09375,1000,100,25
8,0,51,17243,13.15625,1000,100,50
8,0,53,17366,13.09375,1000,100,100
12,0,48,14793,10.98438,1000,100,10
12,0,46,14877,11.17188,1000,100,25
12,0,47,15867,11.79688,1000,100,50
12,0,46,15207,11.40625,1000,100,100
8,0,52,17239,13.15625,1000,100,10
8,0,51,17263,13.17188,1000,100,25
8,0,51,17243,13.18750,1000,100,50
8,0,53,17366,13.17188,1000,100,100
12,0,48,14793,11.35938,1000,100,10
12,0,46,14877,11.17188,1000,100,25
12,0,47,15867,11.85938,1000,100,50
12,0,46,15207,11.43750,1000,100,100
8,0,52,17239,13.20312,1000,100,10
8,0,51,17263,13.20312,1000,100,25
8,0,51,17243,13.20312,1000,100,50
8,0,53,17366,13.20312,1000,100,100
12,0,48,14793,11.07812,1000,100,10
12,0,46,14877,11.14062,1000,100,25
12,0,47,15867,11.85938,1000,100,50
12,0,46,15207,11.42188,1000,100,100
8,0,52,17239,13.12500,1000,100,10
8,0,51,17263,13.18750,1000,100,25
8,0,51,17243,13.23438,1000,100,50
8,0,53,17366,13.15625,1000,100,100
12,0,48,14793,11.00000,1000,100,10
12,0,46,14877,11.09375,1000,100,25
12,0,47,15867,11.90625,1000,100,50
12,0,46,15207,11.31250,1000,100,100
8,0,52,17239,13.15625,1000,100,10
8,0,51,17263,13.12500,1000,100,25
8,0,51,17243,13.12500,1000,100,50
8,0,53,17366,13.14062,1000,100,100
12,0,48,14793,10.95312,1000,100,10
12,0,46,14877,11.09375,1000,100,25
12,0,47,15867,11.81250,1000,100,50
12,0,46,15207,11.35938,1000,100,100
