num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,41,13876,15.29688,1000,100,10
8,0,41,13224,14.76562,1000,100,25
8,0,41,14020,15.59375,1000,100,50
8,0,43,15045,16.60938,1000,100,100
12,0,36,11095,12.04688,1000,100,10
12,0,33,11768,12.84375,1000,100,25
12,0,39,12800,13.89062,1000,100,50
12,0,35,12667,13.75000,1000,100,100
8,0,41,13876,15.28125,1000,100,10
8,0,41,13224,14.76562,1000,100,25
8,0,41,14020,15.57812,1000,100,50
8,0,43,15045,16.64062,1000,100,100
12,0,36,11095,12.06250,1000,100,10
12,0,33,11768,12.82812,1000,100,25
12,0,39,12800,13.90625,1000,100,50
12,0,35,12667,13.75000,1000,100,100
8,0,41,13876,15.31250,1000,100,10
8,0,41,13224,14.73438,1000,100,25
8,0,41,14020,15.57812,1000,100,50
8,0,43,15045,16.65625,1000,100,100
12,0,36,11095,12.20312,1000,100,10
12,0,33,11768,13.06250,1000,100,25
12,0,39,12800,14.03125,1000,100,50
12,0,35,12667,13.85938,1000,100,100
8,0,41,13876,15.42188,1000,100,10
8,0,41,13224,14.76562,1000,100,25
8,0,41,14020,15.64062,1000,100,50
8,0,43,15045,16.65625,1000,100,100
12,0,36,11095,12.06250,1000,100,10
12,0,33,11768,12.93750,1000,100,25
12,0,39,12800,13.92188,1000,100,50
12,0,35,12667,13.76562,1000,100,100
8,0,41,13876,15.34375,1000,100,10
8,0,41,13224,14.75000,1000,100,25
8,0,41,14020,15.68750,1000,100,50
8,0,43,15045,16.62500,1000,100,100
12,0,36,11095,12.20312,1000,100,10
12,0,33,11768,12.98438,1000,100,25
12,0,39,12800,14.01562,1000,100,50
12,0,35,12667,13.87500,1000,100,100
8,0,41,13876,15.31250,1000,100,10
8,0,41,13224,14.75000,1000,100,25
8,0,41,14020,15.62500,1000,100,50
8,0,43,15045,16.96875,1000,100,100
12,0,36,11095,12.15625,1000,100,10
12,0,33,11768,12.92188,1000,100,25
12,0,39,12800,14.01562,1000,100,50
12,0,35,12667,13.85938,1000,100,100
8,0,41,13876,15.39062,1000,100,10
8,0,41,13224,14.84375,1000,100,25
8,0,41,14020,15.75000,1000,100,50
8,0,43,15045,16.78125,1000,100,100
12,0,36,11095,12.14062,1000,100,10
12,0,33,11768,12.98438,1000,100,25
12,0,39,12800,14.03125,1000,100,50
12,0,35,12667,13.90625,1000,100,100
8,0,41,13876,15.43750,1000,100,10
8,0,41,13224,15.10938,1000,100,25
8,0,41,14020,16.03125,1000,100,50
8,0,43,15045,16.76562,1000,100,100
12,0,36,11095,12.14062,1000,100,10
12,0,33,11768,13.00000,1000,100,25
12,0,39,12800,14.07812,1000,100,50
12,0,35,12667,13.87500,1000,100,100
8,0,41,13876,15.42188,1000,100,10
8,0,41,13224,14.85938,1000,100,25
8,0,41,14020,15.73438,1000,100,50
8,0,43,15045,16.71875,1000,100,100
12,0,36,11095,12.18750,1000,100,10
12,0,33,11768,12.98438,1000,100,25
12,0,39,12800,14.04688,1000,100,50
12,0,35,12667,13.85938,1000,100,100
8,0,41,13876,15.42188,1000,100,10
8,0,41,13224,14.87500,1000,100,25
8,0,41,14020,15.65625,1000,100,50
8,0,43,15045,16.75000,1000,100,100
12,0,36,11095,12.46875,1000,100,10
12,0,33,11768,12.98438,1000,100,25
12,0,39,12800,14.03125,1000,100,50
12,0,35,12667,13.87500,1000,100,100
8,0,41,13876,15.45312,1000,100,10
8,0,41,13224,14.92188,1000,100,25
8,0,41,14020,15.73438,1000,100,50
8,0,43,15045,16.76562,1000,100,100
12,0,36,11095,12.21875,1000,100,10
12,0,33,11768,12.98438,1000,100,25
12,0,39,12800,14.04688,1000,100,50
12,0,35,12667,13.92188,1000,100,100
8,0,41,13876,15.48438,1000,100,10
8,0,41,13224,14.92188,1000,100,25
8,0,41,14020,15.73438,1000,100,50
8,0,43,15045,16.81250,1000,100,100
12,0,36,11095,12.18750,1000,100,10
12,0,33,11768,13.01562,1000,100,25
12,0,39,12800,14.06250,1000,100,50
12,0,35,12667,13.96875,1000,100,100
8,0,41,13876,15.39062,1000,100,10
8,0,41,13224,14.82812,1000,100,25
8,0,41,14020,15.73438,1000,100,50
8,0,43,15045,16.75000,1000,100,100
12,0,36,11095,12.18750,1000,100,10
12,0,33,11768,13.01562,1000,100,25
12,0,39,12800,14.04688,1000,100,50
12,0,35,12667,13.85938,1000,100,100
8,0,41,13876,15.46875,1000,100,10
8,0,41,13224,14.85938,1000,100,25
8,0,41,14020,15.67188,1000,100,50
8,0,43,15045,16.76562,1000,100,100
12,0,36,11095,12.15625,1000,100,10
12,0,33,11768,12.95312,1000,100,25
12,0,39,12800,14.04688,1000,100,50
12,0,35,12667,13.89062,1000,100,100
